Attrition,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction
No,1,710,2,Male,76,1,1,Research Scientist,4
No,1,712,2,Male,56,4,2,Sales Executive,2
No,1,714,4,Female,71,4,2,Sales Executive,4
No,1,715,4,Male,80,4,1,Research Scientist,4
No,1,716,4,Male,74,4,1,Laboratory Technician,3
No,1,717,4,Female,46,2,3,Healthcare Representative,2
Yes,1,720,1,Female,65,3,2,Sales Executive,3
No,1,721,4,Female,80,2,2,Healthcare Representative,3
No,1,722,4,Male,55,3,2,Sales Executive,4
Yes,1,723,2,Male,50,3,2,Sales Executive,3
No,1,724,2,Female,33,4,2,Healthcare Representative,4
No,1,725,3,Female,68,3,3,Manufacturing Director,1
No,1,727,3,Female,39,3,3,Research Director,4
No,1,728,4,Male,42,3,2,Sales Executive,1
No,1,729,4,Male,48,2,3,Sales Executive,1
No,1,730,3,Male,59,4,4,Research Director,3
No,1,731,2,Male,73,2,5,Manager,4
No,1,732,1,Male,84,3,2,Sales Executive,1
No,1,733,4,Male,32,3,3,Manufacturing Director,1
No,1,734,4,Male,59,2,5,Manager,3
No,1,738,4,Male,54,3,1,Sales Representative,2
Yes,1,741,1,Female,67,1,1,Research Scientist,2
No,1,742,1,Female,63,4,3,Research Director,1
No,1,743,3,Female,81,3,3,Manufacturing Director,3
No,1,744,1,Male,49,1,1,Laboratory Technician,3
No,1,746,4,Female,49,3,4,Sales Executive,3
No,1,747,3,Male,99,3,2,Sales Executive,4
No,1,749,3,Male,99,3,1,Sales Representative,3
Yes,1,752,3,Male,57,4,1,Research Scientist,3
No,1,754,4,Male,47,2,2,Sales Executive,4
No,1,757,2,Female,96,3,2,Healthcare Representative,3
No,1,758,2,Male,37,3,1,Laboratory Technician,1
No,1,760,3,Female,44,4,2,Human Resources,2
No,1,762,3,Male,81,3,4,Healthcare Representative,4
No,1,763,4,Female,86,2,1,Research Scientist,4
No,1,764,4,Female,55,2,2,Healthcare Representative,1
No,1,766,4,Male,83,3,1,Sales Representative,2
No,1,769,4,Male,86,3,2,Laboratory Technician,4
No,1,771,4,Female,61,3,2,Healthcare Representative,1
No,1,772,1,Male,80,3,2,Laboratory Technician,4
No,1,773,4,Male,92,3,1,Research Scientist,3
No,1,775,2,Female,32,3,2,Manufacturing Director,1
No,1,776,3,Male,31,2,4,Manager,1
Yes,1,780,4,Male,63,3,1,Research Scientist,4
No,1,781,3,Female,32,3,2,Sales Executive,4
No,1,783,2,Male,46,1,2,Sales Representative,3
No,1,784,1,Male,79,4,1,Research Scientist,3
Yes,1,785,2,Female,77,4,2,Sales Executive,3
No,1,786,4,Male,60,3,2,Sales Executive,4
Yes,1,787,4,Male,78,3,5,Manager,1
No,1,789,1,Male,76,2,3,Sales Executive,1
No,1,791,4,Male,41,3,1,Research Scientist,4
No,1,792,1,Female,71,1,1,Laboratory Technician,4
No,1,793,2,Female,66,3,2,Healthcare Representative,3
Yes,1,796,4,Male,38,2,2,Sales Executive,1
No,1,797,2,Female,72,4,1,Research Scientist,4
No,1,799,4,Female,95,3,2,Manufacturing Director,1
No,1,800,3,Male,84,3,2,Sales Executive,4
No,1,802,4,Female,82,3,1,Research Scientist,1
No,1,803,1,Female,75,4,2,Manufacturing Director,1
No,1,804,3,Female,86,2,1,Research Scientist,1
No,1,805,1,Female,72,3,1,Sales Representative,4
No,1,806,4,Male,38,1,1,Laboratory Technician,3
No,1,807,3,Female,38,4,2,Healthcare Representative,2
No,1,808,3,Female,93,3,2,Sales Executive,1
No,1,809,2,Male,66,3,5,Manager,4
Yes,1,811,3,Male,63,4,1,Laboratory Technician,1
No,1,812,3,Male,60,2,1,Laboratory Technician,2
No,1,813,4,Female,82,3,2,Laboratory Technician,3
No,1,815,3,Male,64,3,4,Research Director,3
Yes,1,816,2,Female,36,2,1,Laboratory Technician,1
No,1,817,3,Male,49,3,3,Research Director,3
Yes,1,819,1,Female,69,3,2,Sales Executive,1
No,1,820,3,Female,33,3,4,Manager,4
No,1,823,3,Female,35,3,2,Manufacturing Director,2
No,1,824,3,Male,81,4,1,Research Scientist,3
Yes,1,825,4,Male,31,3,5,Research Director,2
No,1,826,4,Female,40,4,1,Research Scientist,3
No,1,827,4,Female,43,2,2,Manufacturing Director,4
Yes,1,828,3,Male,46,3,1,Research Scientist,3
No,1,829,3,Male,36,3,1,Human Resources,2
No,1,830,3,Female,98,2,2,Manufacturing Director,3
No,1,832,1,Male,51,2,2,Laboratory Technician,3
No,1,833,3,Female,52,2,2,Manufacturing Director,4
No,1,834,2,Female,95,2,1,Research Scientist,3
No,1,836,2,Male,98,3,2,Manufacturing Director,2
No,1,837,1,Male,45,2,2,Healthcare Representative,1
No,1,838,3,Female,100,2,1,Research Scientist,4
Yes,1,840,3,Female,43,3,3,Sales Executive,4
Yes,1,842,3,Male,37,3,2,Sales Executive,4
No,1,843,2,Male,94,3,4,Research Director,1
No,1,844,3,Male,42,2,3,Research Director,4
No,1,845,3,Male,59,3,3,Manufacturing Director,3
No,1,846,2,Female,81,3,2,Sales Executive,2
No,1,847,3,Male,88,3,1,Human Resources,4
Yes,1,848,3,Female,88,2,1,Research Scientist,3
No,1,850,4,Male,50,3,1,Research Scientist,4
No,1,851,1,Female,66,3,4,Manager,3
No,1,852,4,Male,50,3,2,Healthcare Representative,2
No,1,854,1,Male,65,4,1,Research Scientist,1
No,1,855,1,Male,48,4,2,Sales Executive,1
No,1,856,3,Female,53,2,1,Research Scientist,1
No,1,857,2,Male,56,3,2,Sales Executive,4
No,1,859,2,Male,73,3,2,Sales Executive,4
No,1,861,2,Male,75,2,1,Research Scientist,4
No,1,862,1,Female,78,2,3,Sales Executive,4
No,1,864,4,Male,74,3,3,Sales Executive,1
No,1,865,3,Female,91,4,2,Research Scientist,3
No,1,867,3,Female,81,2,4,Manufacturing Director,4
No,1,868,4,Male,66,2,2,Sales Executive,3
No,1,869,2,Male,63,2,1,Human Resources,4
No,1,872,4,Male,33,2,2,Manufacturing Director,4
No,1,874,1,Male,62,4,1,Laboratory Technician,4
No,1,875,2,Male,35,3,1,Research Scientist,4
No,1,878,1,Male,77,2,1,Human Resources,1
No,1,879,3,Male,98,3,2,Sales Executive,1
No,1,880,4,Female,66,2,3,Manufacturing Director,3
Yes,1,881,4,Female,96,3,1,Research Scientist,2
No,1,882,4,Male,61,3,1,Laboratory Technician,4
No,1,885,3,Male,87,2,2,Sales Executive,1
No,1,887,3,Female,36,3,1,Research Scientist,1
No,1,888,1,Male,46,2,1,Laboratory Technician,4
No,1,889,2,Male,48,3,2,Sales Executive,2
No,1,893,2,Male,98,2,1,Sales Representative,2
No,1,894,3,Female,95,4,2,Laboratory Technician,4
No,1,895,4,Male,48,3,1,Research Scientist,4
Yes,1,896,2,Female,48,2,1,Sales Representative,3
No,1,897,1,Male,73,3,4,Sales Executive,4
No,1,899,4,Male,78,2,3,Manufacturing Director,2
No,1,900,3,Female,54,3,1,Sales Representative,4
No,1,901,4,Female,72,3,4,Research Director,4
No,1,902,4,Female,33,3,2,Healthcare Representative,4
No,1,903,3,Female,35,3,2,Sales Executive,4
No,1,904,1,Male,32,3,3,Sales Executive,2
No,1,905,1,Male,98,3,4,Manager,1
No,1,909,4,Female,42,2,2,Human Resources,4
No,1,910,4,Male,57,3,1,Human Resources,2
Yes,1,911,1,Male,87,3,1,Laboratory Technician,4
No,1,912,1,Female,62,2,1,Laboratory Technician,4
No,1,913,2,Male,61,3,1,Research Scientist,1
No,1,916,1,Male,98,3,2,Sales Executive,4
Yes,1,918,4,Male,57,2,1,Laboratory Technician,4
No,1,920,1,Female,55,3,2,Manufacturing Director,2
Yes,1,922,3,Female,49,2,1,Sales Representative,3
Yes,1,923,4,Female,65,3,1,Research Scientist,4
No,1,924,3,Male,68,3,2,Healthcare Representative,4
No,1,925,4,Female,65,2,1,Sales Representative,4
Yes,1,926,2,Female,34,3,2,Manufacturing Director,3
Yes,1,927,2,Female,57,1,1,Laboratory Technician,4
No,1,930,3,Female,77,3,1,Research Scientist,3
Yes,1,932,4,Male,70,3,1,Laboratory Technician,1
No,1,933,2,Female,76,3,1,Research Scientist,3
No,1,934,2,Male,83,3,1,Laboratory Technician,2
No,1,936,3,Female,68,2,2,Sales Executive,3
No,1,939,3,Male,100,2,1,Research Scientist,1
No,1,940,3,Female,37,2,3,Healthcare Representative,2
No,1,941,2,Male,41,2,1,Sales Representative,3
No,1,942,4,Female,51,3,2,Healthcare Representative,4
No,1,944,1,Female,51,3,3,Laboratory Technician,2
No,1,945,4,Male,51,3,1,Research Scientist,3
No,1,947,4,Female,45,3,2,Sales Executive,3
No,1,949,2,Male,65,3,1,Research Scientist,4
No,1,950,4,Female,80,3,3,Research Director,1
No,1,951,3,Female,70,2,1,Laboratory Technician,2
Yes,1,952,3,Male,36,2,1,Sales Representative,2
No,1,954,1,Male,67,2,3,Sales Executive,2
No,1,956,3,Male,52,2,2,Sales Executive,1
No,1,957,4,Male,59,3,1,Laboratory Technician,1
No,1,958,3,Male,79,3,1,Laboratory Technician,3
Yes,1,959,4,Male,37,2,1,Sales Representative,2
Yes,1,960,1,Male,84,3,1,Laboratory Technician,1
No,1,961,4,Female,41,3,2,Healthcare Representative,4
No,1,964,4,Male,35,3,1,Research Scientist,2
No,1,966,3,Female,93,3,2,Manufacturing Director,1
Yes,1,967,3,Male,51,2,3,Sales Executive,4
No,1,969,2,Female,42,2,2,Healthcare Representative,4
Yes,1,970,1,Male,46,2,3,Sales Executive,3
No,1,972,3,Male,57,3,2,Laboratory Technician,2
No,1,974,3,Female,84,3,1,Sales Representative,4
No,1,975,3,Female,86,3,2,Sales Executive,3
No,1,976,4,Male,70,3,4,Manager,4
Yes,1,977,4,Male,51,3,1,Research Scientist,3
No,1,981,3,Male,45,3,4,Manager,3
No,1,982,3,Male,62,3,3,Sales Executive,3
No,1,983,3,Female,85,3,2,Sales Executive,4
No,1,984,4,Male,92,3,3,Sales Executive,4
No,1,985,1,Male,41,4,3,Sales Executive,3
Yes,1,986,2,Female,100,4,4,Sales Executive,2
No,1,987,3,Male,64,4,2,Manufacturing Director,3
No,1,990,1,Male,84,3,2,Sales Executive,4
Yes,1,991,3,Male,46,2,1,Research Scientist,1
No,1,992,4,Male,38,3,4,Manager,3
Yes,1,994,4,Female,92,2,1,Research Scientist,1
No,1,995,2,Female,53,3,1,Research Scientist,4
No,1,996,4,Female,91,3,1,Laboratory Technician,4
No,1,997,4,Male,66,3,4,Research Director,4
No,1,998,3,Female,84,4,2,Healthcare Representative,2
No,1,999,1,Male,64,3,5,Research Director,3
No,1,1001,3,Female,37,3,1,Laboratory Technician,2
No,1,1002,4,Male,42,3,2,Laboratory Technician,1
No,1,1003,4,Female,83,3,2,Sales Executive,4
Yes,1,1004,1,Female,48,3,1,Research Scientist,3
No,1,1005,4,Male,95,3,4,Manufacturing Director,3
No,1,1006,3,Male,66,3,1,Research Scientist,3
No,1,1007,4,Male,75,3,3,Manufacturing Director,3
No,1,1009,4,Female,41,2,2,Manufacturing Director,3
Yes,1,1010,3,Male,39,2,1,Laboratory Technician,2
No,1,1011,3,Female,96,3,2,Manufacturing Director,1
No,1,1012,2,Male,73,3,1,Research Scientist,4
No,1,1013,3,Female,56,3,3,Manufacturing Director,3
No,1,1014,3,Female,57,3,3,Healthcare Representative,3
No,1,1015,2,Female,73,4,3,Research Director,1
Yes,1,1016,4,Female,98,2,1,Research Scientist,1
Yes,1,1017,2,Female,60,3,1,Laboratory Technician,2
No,1,1018,4,Male,32,4,2,Manufacturing Director,4
No,1,1019,2,Male,94,1,1,Laboratory Technician,1
No,1,1022,1,Male,97,2,2,Healthcare Representative,3
No,1,1024,3,Male,78,2,3,Healthcare Representative,3
No,1,1025,4,Female,42,3,2,Manufacturing Director,3
No,1,1026,4,Female,65,2,4,Manufacturing Director,4
No,1,1027,1,Female,47,3,2,Manufacturing Director,4
No,1,1028,2,Male,45,3,1,Laboratory Technician,4
No,1,1029,4,Male,90,3,5,Manager,3
No,1,1030,1,Male,64,3,1,Laboratory Technician,4
No,1,1032,3,Female,69,2,4,Manufacturing Director,4
Yes,1,1033,1,Female,61,1,2,Healthcare Representative,2
No,1,1034,3,Male,62,3,2,Healthcare Representative,2
No,1,1035,2,Female,55,1,5,Research Director,3
No,1,1036,2,Male,42,3,2,Sales Executive,4
Yes,1,1037,2,Male,79,1,2,Sales Executive,1
Yes,1,1038,1,Female,57,1,5,Manager,4
No,1,1039,4,Female,53,4,4,Sales Executive,4
No,1,1040,4,Female,95,3,2,Sales Executive,3
Yes,1,1042,3,Female,43,4,1,Laboratory Technician,1
No,1,1043,4,Female,82,3,3,Manufacturing Director,1
No,1,1044,2,Female,88,2,1,Sales Representative,4
No,1,1045,4,Female,90,3,4,Manager,4
No,1,1046,4,Female,69,3,1,Laboratory Technician,3
No,1,1047,2,Male,75,4,2,Sales Executive,4
No,1,1048,2,Male,66,3,3,Manager,4
No,1,1049,2,Male,36,3,1,Human Resources,2
No,1,1050,3,Female,38,2,3,Sales Executive,2
Yes,1,1052,1,Male,81,3,2,Laboratory Technician,3
Yes,1,1053,1,Male,57,3,1,Research Scientist,1
No,1,1055,3,Female,87,3,1,Sales Representative,3
No,1,1056,4,Male,74,3,1,Sales Representative,2
No,1,1060,3,Male,44,3,1,Research Scientist,3
No,1,1061,2,Male,62,3,5,Research Director,3
No,1,1062,4,Female,35,3,2,Healthcare Representative,2
No,1,1066,3,Male,74,3,2,Sales Executive,1
No,1,1068,1,Female,66,2,1,Research Scientist,3
No,1,1069,4,Male,40,3,5,Research Director,4
No,1,1070,3,Female,41,2,3,Sales Executive,3
No,1,1071,1,Female,63,3,1,Research Scientist,3
No,1,1073,4,Female,51,2,3,Manufacturing Director,4
No,1,1074,3,Male,40,2,4,Manager,1
No,1,1076,3,Male,79,2,3,Sales Executive,4
Yes,1,1077,4,Female,54,3,1,Sales Representative,4
Yes,1,1079,3,Female,36,2,1,Laboratory Technician,1
No,1,1080,4,Female,74,2,2,Research Scientist,1
Yes,1,1081,1,Male,34,3,1,Research Scientist,3
Yes,1,1082,2,Male,72,2,3,Healthcare Representative,1
No,1,1083,1,Male,59,2,1,Laboratory Technician,1
No,1,1084,3,Male,85,3,2,Manufacturing Director,1
No,1,1085,2,Female,43,4,1,Research Scientist,3
No,1,1088,3,Female,65,2,3,Healthcare Representative,3
No,1,1092,1,Male,61,3,3,Healthcare Representative,4
No,1,1094,1,Male,87,1,1,Laboratory Technician,3
No,1,1096,4,Male,65,3,3,Manufacturing Director,2
No,1,1097,3,Female,59,3,2,Research Scientist,3
Yes,1,1098,2,Male,91,2,3,Human Resources,1
No,1,1099,4,Male,34,2,3,Healthcare Representative,4
Yes,1,1100,4,Male,86,3,3,Sales Executive,1
Yes,1,1101,1,Female,54,2,2,Research Scientist,3
No,1,1102,1,Male,50,3,1,Laboratory Technician,3
No,1,1103,1,Male,45,3,2,Healthcare Representative,4
No,1,1105,4,Female,88,2,2,Sales Executive,4
Yes,1,1106,4,Male,32,3,1,Laboratory Technician,4
Yes,1,1107,1,Male,37,3,1,Laboratory Technician,3
Yes,1,1108,1,Male,55,2,1,Research Scientist,2
No,1,1109,4,Male,35,3,4,Manager,1
Yes,1,1111,1,Male,45,2,1,Laboratory Technician,2
Yes,1,1113,4,Male,81,3,2,Sales Executive,3
No,1,1114,4,Female,30,3,2,Sales Executive,2
No,1,1115,3,Male,40,2,1,Research Scientist,4
No,1,1116,1,Male,35,4,4,Manager,4
No,1,1117,2,Female,65,2,2,Sales Executive,3
No,1,1118,2,Male,87,3,3,Healthcare Representative,2
No,1,1119,3,Male,73,2,3,Sales Executive,3
No,1,1120,3,Female,93,3,1,Research Scientist,4
No,1,1121,4,Female,93,3,3,Manufacturing Director,2
No,1,1124,1,Male,52,3,4,Manager,3
No,1,1125,4,Male,32,3,3,Sales Executive,2
No,1,1126,3,Female,83,3,3,Manufacturing Director,1
Yes,1,1127,1,Male,84,3,4,Healthcare Representative,4
No,1,1128,3,Male,44,2,5,Research Director,3
No,1,1131,4,Female,70,2,1,Research Scientist,2
No,1,1132,3,Male,70,3,2,Laboratory Technician,2
No,1,1133,1,Male,78,3,2,Manufacturing Director,4
No,1,1135,3,Male,67,4,1,Sales Representative,4
No,1,1136,1,Male,67,2,1,Research Scientist,2
No,1,1137,4,Male,54,3,2,Sales Executive,4
No,1,1138,4,Male,56,2,4,Sales Executive,2
No,1,1140,4,Male,95,3,2,Manufacturing Director,3
No,1,1143,4,Female,61,3,1,Research Scientist,2
No,1,1148,2,Male,56,1,2,Laboratory Technician,4
No,1,1150,2,Male,79,2,2,Manufacturing Director,4
No,1,1152,3,Male,37,4,1,Human Resources,3
No,1,1154,3,Male,39,2,1,Research Scientist,3
Yes,1,1156,3,Male,80,3,1,Laboratory Technician,3
Yes,1,1157,1,Female,77,3,2,Sales Executive,1
No,1,1158,2,Male,46,3,1,Laboratory Technician,4
Yes,1,1160,3,Male,72,3,1,Laboratory Technician,3
No,1,1161,3,Female,52,2,2,Healthcare Representative,4
No,1,1162,4,Male,55,2,1,Research Scientist,3
No,1,1163,2,Female,70,3,2,Sales Executive,3
No,1,1164,3,Male,100,3,1,Human Resources,3
Yes,1,1165,4,Female,45,2,3,Sales Executive,1
No,1,1166,2,Female,88,3,3,Research Director,3
Yes,1,1167,3,Male,44,3,4,Sales Executive,1
No,1,1171,2,Male,45,3,2,Sales Executive,1
No,1,1172,4,Male,58,2,1,Laboratory Technician,3
No,1,1173,4,Male,49,3,1,Laboratory Technician,2
Yes,1,1175,3,Female,79,3,1,Laboratory Technician,4
No,1,1177,1,Male,82,4,1,Laboratory Technician,4
No,1,1179,3,Male,72,2,2,Sales Executive,3
No,1,1180,3,Female,92,2,2,Research Scientist,4
No,1,1182,3,Male,44,2,3,Manufacturing Director,2
No,1,1184,4,Male,97,2,2,Healthcare Representative,1
No,1,1185,4,Male,47,2,1,Laboratory Technician,4
Yes,1,1188,1,Female,85,1,2,Sales Executive,3
No,1,1190,3,Female,76,3,1,Sales Representative,1
No,1,1191,4,Female,92,3,5,Manager,1
No,1,1192,2,Female,54,3,1,Laboratory Technician,4
No,1,1193,3,Male,54,3,1,Research Scientist,1
No,1,1195,1,Female,83,3,1,Research Scientist,3
No,1,1196,4,Female,56,2,2,Manufacturing Director,4
No,1,1198,1,Male,87,2,1,Laboratory Technician,3
Yes,1,1200,3,Male,96,3,1,Research Scientist,3
No,1,1201,4,Female,50,3,5,Manager,3
No,1,1202,2,Female,69,1,1,Research Scientist,4
Yes,1,1203,3,Male,48,2,1,Research Scientist,4
No,1,1204,3,Female,69,3,4,Manager,1
No,1,1206,4,Male,74,1,1,Research Scientist,3
No,1,1207,2,Male,99,3,1,Human Resources,3
Yes,1,1210,1,Male,95,2,1,Research Scientist,1
No,1,1211,3,Male,61,3,2,Sales Executive,1
No,1,1212,2,Male,62,3,2,Sales Executive,2
No,1,1215,4,Female,30,3,4,Manager,1
No,1,1216,4,Male,78,2,1,Laboratory Technician,1
No,1,1217,4,Male,52,3,5,Research Director,2
No,1,1218,3,Male,94,3,2,Sales Executive,1
Yes,1,1219,4,Female,97,3,1,Laboratory Technician,2
No,1,1220,2,Female,82,3,2,Sales Executive,3
No,1,1221,3,Male,60,1,1,Laboratory Technician,3
No,1,1224,3,Male,49,3,2,Laboratory Technician,3
No,1,1225,4,Male,32,3,2,Research Scientist,4
No,1,1226,3,Male,43,4,1,Sales Representative,4
No,1,1228,4,Male,60,3,2,Manufacturing Director,4
No,1,1231,4,Male,79,4,2,Human Resources,1
No,1,1233,2,Male,52,4,2,Sales Executive,4
No,1,1234,3,Female,77,2,1,Laboratory Technician,2
No,1,1235,4,Female,38,3,2,Research Scientist,3
No,1,1237,3,Female,77,1,3,Manufacturing Director,1
No,1,1238,1,Male,60,3,1,Research Scientist,4
No,1,1239,2,Female,84,2,2,Sales Executive,2
No,1,1240,3,Male,57,3,2,Sales Executive,4
No,1,1241,4,Male,63,3,1,Research Scientist,2
No,1,1242,1,Female,60,3,3,Research Director,1
No,1,1243,3,Female,78,2,3,Sales Executive,4
No,1,1244,1,Male,42,3,1,Research Scientist,1
No,1,1245,4,Female,53,3,3,Manufacturing Director,3
No,1,1246,1,Female,72,4,1,Research Scientist,4
Yes,1,1248,1,Female,96,2,1,Research Scientist,2
No,1,1249,1,Female,97,3,1,Research Scientist,4
No,1,1250,4,Male,85,3,4,Research Director,4
No,1,1251,3,Male,80,3,2,Healthcare Representative,1
No,1,1252,3,Female,96,2,2,Healthcare Representative,1
No,1,1254,3,Female,48,2,2,Sales Executive,4
No,1,1255,3,Male,96,1,5,Research Director,4
No,1,1256,1,Male,85,2,5,Manager,3
No,1,1257,3,Male,46,3,1,Research Scientist,2
No,1,1258,4,Male,76,4,1,Laboratory Technician,2
No,1,1259,1,Male,76,3,1,Research Scientist,3
No,1,1260,3,Male,82,3,2,Healthcare Representative,4
No,1,1263,4,Male,76,2,5,Research Director,4
No,1,1264,4,Female,87,2,4,Research Director,4
No,1,1265,3,Female,89,4,1,Research Scientist,3
No,1,1267,2,Male,88,3,5,Manager,2
No,1,1268,4,Male,82,4,3,Sales Executive,3
No,1,1269,2,Female,57,4,1,Research Scientist,4
No,1,1270,4,Male,47,3,1,Research Scientist,3
Yes,1,1273,3,Male,73,1,1,Sales Representative,4
No,1,1275,3,Male,53,3,1,Research Scientist,4
Yes,1,1277,1,Female,94,1,5,Manager,2
No,1,1278,4,Male,37,2,4,Healthcare Representative,2
Yes,1,1279,1,Female,45,2,1,Laboratory Technician,3
No,1,1280,4,Female,33,2,5,Manager,2
No,1,1281,3,Female,86,3,2,Sales Executive,1
No,1,1282,4,Male,83,3,5,Manager,2
No,1,1283,4,Male,67,3,3,Manufacturing Director,4
No,1,1285,3,Female,46,3,2,Laboratory Technician,2
No,1,1286,4,Male,44,3,1,Laboratory Technician,3
No,1,1288,3,Male,92,4,5,Manager,1
No,1,1289,3,Male,56,2,2,Human Resources,2
No,1,1291,3,Male,66,3,1,Research Scientist,3
No,1,1292,2,Female,78,4,2,Research Scientist,2
No,1,1293,4,Female,56,2,3,Sales Executive,4
No,1,1294,3,Female,53,3,2,Manufacturing Director,2
Yes,1,1295,1,Female,73,3,3,Healthcare Representative,4
No,1,1296,4,Male,52,2,1,Laboratory Technician,4
No,1,1297,2,Female,40,2,1,Laboratory Technician,3
No,1,1298,3,Female,72,3,2,Manufacturing Director,3
Yes,1,1299,2,Female,39,3,1,Laboratory Technician,3
No,1,1301,4,Male,84,3,1,Research Scientist,1
No,1,1303,4,Female,40,3,1,Research Scientist,2
No,1,1304,3,Male,56,4,2,Sales Executive,4
No,1,1306,2,Female,83,3,5,Manager,2
No,1,1307,3,Female,94,2,4,Manager,2
No,1,1308,1,Male,88,3,1,Research Scientist,3
Yes,1,1309,4,Male,79,3,2,Laboratory Technician,3
Yes,1,1310,3,Male,93,3,1,Research Scientist,1
No,1,1311,1,Female,48,2,2,Laboratory Technician,4
No,1,1312,4,Female,63,3,3,Healthcare Representative,3
No,1,1314,4,Female,44,3,1,Human Resources,1
No,1,1315,3,Female,55,1,2,Laboratory Technician,4
No,1,1317,4,Female,43,3,4,Research Director,1
Yes,1,1318,4,Male,57,2,3,Sales Executive,2
Yes,1,1319,2,Male,64,3,3,Sales Executive,2
No,1,1321,2,Female,95,3,3,Manager,1
No,1,1322,1,Male,32,3,2,Manufacturing Director,3
No,1,1324,4,Female,57,3,3,Sales Executive,3
No,1,1329,3,Male,40,1,2,Sales Executive,2
Yes,1,1331,4,Female,54,3,1,Sales Representative,2
Yes,1,1333,1,Male,89,3,1,Laboratory Technician,1
No,1,1334,3,Male,37,3,4,Manager,3
No,1,1336,4,Female,58,1,5,Manager,3
No,1,1338,4,Male,99,3,5,Manager,2
No,1,1340,3,Male,74,3,1,Research Scientist,3
No,1,1344,4,Male,86,3,3,Healthcare Representative,4
No,1,1346,3,Male,98,3,2,Research Scientist,4
No,1,1349,3,Female,66,3,2,Sales Executive,1
No,1,1350,3,Male,87,3,2,Research Scientist,3
No,1,1352,3,Male,84,3,4,Manager,2
No,1,1355,2,Female,31,3,2,Sales Executive,1
No,1,1356,3,Female,66,3,2,Sales Executive,1
No,1,1358,4,Male,67,3,1,Laboratory Technician,4
Yes,1,1360,3,Female,53,2,3,Manufacturing Director,1
No,1,1361,2,Male,88,3,1,Laboratory Technician,2
No,1,1362,1,Female,83,4,2,Sales Executive,1
No,1,1363,4,Male,54,3,3,Manufacturing Director,4
No,1,1364,3,Female,98,4,1,Sales Representative,4
No,1,1367,4,Female,82,2,4,Manufacturing Director,2
No,1,1368,4,Female,97,3,1,Laboratory Technician,4
No,1,1369,4,Female,60,2,2,Laboratory Technician,4
No,1,1371,4,Male,43,1,2,Sales Executive,4
Yes,1,1372,1,Male,85,4,4,Sales Executive,3
No,1,1373,4,Male,68,3,4,Manufacturing Director,2
No,1,1374,1,Female,92,2,1,Research Scientist,3
No,1,1375,2,Female,89,4,2,Healthcare Representative,3
No,1,1377,2,Male,86,3,2,Laboratory Technician,3
Yes,1,1379,3,Female,90,2,1,Sales Representative,4
Yes,1,1380,4,Female,67,3,2,Sales Executive,3
No,1,1382,4,Male,57,4,1,Research Scientist,3
No,1,1383,3,Female,98,3,2,Healthcare Representative,4
No,1,1387,3,Male,48,2,2,Sales Executive,1
Yes,1,1389,4,Male,98,3,2,Manufacturing Director,3
No,1,1390,1,Male,44,2,2,Sales Executive,4
No,1,1391,2,Male,52,3,3,Sales Executive,2
No,1,1392,4,Female,75,3,2,Research Scientist,4
No,1,1394,3,Male,54,3,1,Research Scientist,3
No,1,1395,2,Male,61,3,2,Sales Executive,4
No,1,1396,3,Male,36,3,2,Sales Executive,2
No,1,1397,3,Male,71,3,3,Healthcare Representative,3
No,1,1399,1,Male,93,4,2,Sales Executive,3
No,1,1401,4,Female,59,4,4,Manufacturing Director,3
No,1,1402,1,Female,73,2,2,Research Scientist,3
No,1,1403,4,Female,98,2,2,Sales Executive,4
Yes,1,1405,4,Female,51,3,1,Research Scientist,3
No,1,1407,1,Male,36,2,1,Research Scientist,4
No,1,1408,3,Female,31,3,4,Manager,1
No,1,1409,3,Female,54,3,1,Laboratory Technician,1
No,1,1411,1,Female,94,3,1,Laboratory Technician,3
No,1,1412,3,Male,60,3,3,Manufacturing Director,4
No,1,1415,1,Male,81,3,1,Laboratory Technician,4
No,1,1417,3,Male,100,4,1,Laboratory Technician,1
No,1,1419,2,Male,51,2,3,Human Resources,1
Yes,1,1420,1,Male,97,2,2,Laboratory Technician,1
Yes,1,1421,3,Female,84,3,3,Healthcare Representative,4
No,1,1422,4,Female,54,3,4,Research Director,4
No,1,1423,4,Female,76,3,5,Research Director,1
No,1,1424,2,Male,81,4,4,Research Director,4
No,1,1425,1,Female,99,3,2,Sales Executive,2
Yes,1,1427,2,Female,50,1,1,Sales Representative,3
No,1,1428,4,Female,73,3,2,Sales Executive,1
No,1,1430,1,Female,93,3,4,Research Director,2
No,1,1431,4,Male,91,3,1,Research Scientist,1
Yes,1,1433,1,Female,34,2,1,Research Scientist,2
No,1,1434,2,Male,91,3,1,Laboratory Technician,1
No,1,1435,1,Male,37,2,2,Laboratory Technician,4
No,1,1436,3,Female,98,2,2,Sales Executive,1
No,1,1438,1,Male,74,3,1,Research Scientist,4
Yes,1,1439,1,Male,68,2,1,Sales Representative,1
No,1,1440,3,Male,84,4,1,Laboratory Technician,3
No,1,1441,1,Female,90,3,1,Research Scientist,1
No,1,1443,1,Female,82,3,4,Research Director,3
No,1,1445,4,Female,42,3,2,Sales Executive,3
No,1,1446,4,Male,97,3,2,Sales Executive,4
No,1,1447,4,Female,86,2,1,Laboratory Technician,2
