Attrition,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
No,80,1,9,2,2,9,8,0,0
No,80,0,8,6,3,6,2,0,1
No,80,1,15,3,3,15,12,5,11
No,80,0,5,3,3,3,0,0,2
Yes,80,3,1,2,3,1,0,0,0
No,80,1,11,2,2,1,0,0,0
No,80,0,7,2,3,7,7,0,7
No,80,0,20,3,3,18,13,2,17
No,80,0,16,6,3,11,8,3,9
Yes,80,0,1,3,4,1,0,0,0
Yes,80,0,1,2,3,1,0,0,0
No,80,2,10,2,1,9,7,8,5
No,80,1,3,2,3,1,1,0,0
No,80,1,8,2,4,8,7,6,3
Yes,80,1,16,6,3,16,7,3,7
No,80,0,6,3,3,5,0,1,4
Yes,80,0,17,2,1,14,1,11,7
No,80,0,9,5,2,9,7,0,8
No,80,1,3,5,3,3,1,0,2
No,80,0,5,3,3,5,2,1,0
No,80,1,26,2,2,9,8,7,8
Yes,80,0,7,4,3,1,0,0,0
No,80,1,22,3,4,17,13,15,2
No,80,1,10,2,4,8,4,7,7
No,80,0,6,1,3,5,3,1,3
No,80,1,12,2,3,10,9,0,8
No,80,0,9,3,3,8,7,0,7
Yes,80,0,22,2,2,1,0,0,0
No,80,0,20,3,4,19,10,2,7
No,80,2,12,3,3,7,7,0,7
Yes,80,0,4,0,3,3,2,1,2
No,80,0,10,2,3,10,8,6,0
Yes,80,0,3,5,3,0,0,0,0
No,80,0,5,4,3,3,2,0,2
No,80,2,8,2,3,5,3,0,2
No,80,1,32,1,2,5,4,1,3
No,80,1,6,2,3,6,5,1,2
No,80,1,21,2,4,18,16,0,11
No,80,1,4,2,3,2,2,2,2
No,80,1,9,2,3,9,8,0,8
No,80,0,9,0,3,9,0,0,7
Yes,80,0,7,2,3,5,2,0,1
No,80,1,22,2,3,12,11,1,5
No,80,1,3,0,2,2,1,0,2
No,80,1,13,3,3,8,7,0,7
No,80,2,5,6,3,4,2,3,2
Yes,80,1,5,2,1,4,2,0,2
No,80,1,4,1,3,4,3,0,3
No,80,0,0,2,3,0,0,0,0
No,80,1,22,2,3,10,7,0,8
No,80,1,16,3,2,16,10,10,1
No,80,3,9,4,2,8,7,1,7
Yes,80,0,1,2,3,1,0,0,0
Yes,80,0,4,3,3,3,2,1,2
No,80,0,8,2,3,8,7,1,3
No,80,1,4,3,2,4,3,1,1
No,80,0,19,0,3,2,2,2,2
No,80,0,27,3,3,15,11,4,8
No,80,0,8,6,3,2,2,2,1
No,80,1,21,3,3,21,6,11,8
No,80,1,4,2,3,3,2,2,2
No,80,1,3,4,2,3,2,1,2
No,80,0,21,3,4,1,0,0,0
No,80,0,8,5,3,1,0,0,0
No,80,0,30,4,3,5,3,4,3
Yes,80,0,15,2,1,1,0,0,0
No,80,2,17,3,3,8,7,6,7
No,80,2,21,3,3,21,16,5,10
No,80,0,19,1,3,1,0,0,0
Yes,80,0,7,6,3,2,2,2,2
Yes,80,1,33,3,3,32,14,6,9
No,80,1,23,2,3,12,11,11,11
No,80,1,19,3,3,18,7,0,13
Yes,80,0,18,1,3,17,13,15,14
No,80,0,21,2,3,21,6,2,8
No,80,0,3,2,2,2,2,2,2
No,80,1,26,4,4,9,3,1,1
No,80,0,10,2,3,8,7,7,7
No,80,1,16,2,2,15,1,0,9
No,80,1,14,1,1,6,4,0,4
No,80,0,6,3,3,6,3,0,4
No,80,1,30,2,3,15,7,6,12
Yes,80,1,9,3,2,1,0,0,0
Yes,80,1,6,2,3,3,2,1,2
No,80,1,1,2,3,1,1,0,0
No,80,0,1,5,3,1,0,0,0
No,80,1,8,2,3,2,2,2,2
No,80,1,29,2,2,8,1,7,7
No,80,0,8,3,2,4,3,0,1
No,80,1,8,3,2,7,7,7,5
No,80,2,5,5,3,5,3,1,3
No,80,2,23,0,3,2,2,2,2
No,80,1,13,4,3,9,4,7,0
No,80,1,18,4,3,5,4,0,3
No,80,0,15,2,2,14,8,7,8
No,80,0,31,3,4,9,7,6,2
No,80,1,18,5,3,1,0,0,0
Yes,80,0,2,3,3,2,2,0,2
Yes,80,0,1,6,2,1,0,1,0
No,80,3,19,2,3,16,13,1,7
Yes,80,3,18,2,4,10,0,2,7
Yes,80,0,10,2,2,10,7,1,9
No,80,2,6,2,3,5,3,1,3
No,80,1,7,1,2,6,2,0,2
No,80,0,10,3,3,10,6,0,8
No,80,1,20,4,2,19,9,1,9
No,80,1,14,6,3,11,10,11,1
No,80,3,3,4,3,3,2,1,2
No,80,1,23,4,3,3,2,1,2
No,80,0,10,4,4,8,7,1,7
Yes,80,1,24,1,3,20,6,3,6
No,80,1,9,2,3,3,2,1,2
Yes,80,0,9,2,3,8,7,4,7
Yes,80,0,14,4,3,13,7,3,8
No,80,1,4,5,2,4,2,2,2
No,80,0,7,1,2,6,2,0,4
No,80,3,8,5,3,1,0,0,0
Yes,80,1,7,3,4,7,7,5,6
Yes,80,1,1,0,2,1,1,0,0
Yes,80,0,5,0,3,2,2,2,2
No,80,1,23,3,3,22,6,13,7
Yes,80,2,1,2,3,1,0,0,0
Yes,80,0,5,4,3,0,0,0,0
No,80,1,4,3,3,3,2,0,2
No,80,3,6,2,3,0,0,0,0
No,80,0,27,3,2,5,4,2,1
No,80,1,15,2,3,15,10,4,12
No,80,0,18,4,3,8,6,4,0
No,80,2,9,2,3,8,7,2,7
No,80,1,11,1,3,7,5,1,7
No,80,3,10,3,2,9,7,1,7
No,80,1,23,3,3,12,9,4,9
No,80,0,10,2,3,1,0,0,0
No,80,1,18,1,3,8,7,0,1
Yes,80,3,21,4,3,18,7,11,5
No,80,0,21,2,4,20,7,4,9
No,80,0,2,6,4,2,2,2,2
No,80,0,9,2,2,5,4,0,3
No,80,0,18,0,3,11,9,0,9
No,80,1,3,4,3,2,2,2,2
No,80,0,6,2,1,5,3,0,4
No,80,1,5,3,3,5,2,0,2
No,80,1,22,3,3,9,8,2,3
No,80,0,5,3,2,3,2,0,2
No,80,2,8,2,2,7,5,1,1
No,80,0,16,3,3,1,0,0,0
No,80,1,10,2,2,10,7,1,2
No,80,1,7,2,4,7,6,5,0
No,80,1,3,2,3,3,1,0,2
Yes,80,0,0,0,3,0,0,0,0
Yes,80,0,6,3,3,5,2,0,3
No,80,1,6,4,3,1,0,0,0
Yes,80,1,2,5,2,2,2,2,2
No,80,2,9,2,3,6,2,1,3
No,80,1,4,0,3,4,2,2,2
No,80,0,6,3,2,6,5,1,3
No,80,0,6,2,1,5,4,1,4
Yes,80,1,11,3,1,11,8,3,10
No,80,0,20,3,2,18,7,2,13
Yes,80,0,22,2,2,21,9,13,14
No,80,0,9,3,4,6,4,1,5
No,80,1,10,2,3,8,0,1,7
No,80,0,6,2,3,4,3,1,2
Yes,80,0,1,4,2,1,1,0,0
No,80,1,8,2,3,8,7,0,7
No,80,1,10,3,3,10,3,1,4
No,80,1,16,3,1,1,1,0,0
No,80,1,15,2,4,7,7,6,4
No,80,0,14,3,3,13,9,4,9
No,80,1,2,2,4,2,2,2,2
Yes,80,0,7,2,2,4,3,1,3
No,80,3,1,3,3,1,0,0,0
No,80,1,28,2,3,5,2,4,2
No,80,1,10,5,3,10,8,0,8
No,80,0,1,4,3,1,1,0,0
No,80,1,7,2,2,3,2,0,2
No,80,1,14,2,2,14,8,3,11
No,80,0,2,2,2,2,2,1,2
Yes,80,0,6,4,3,6,4,0,2
No,80,1,26,6,3,7,7,4,7
No,80,1,6,2,2,5,4,1,3
Yes,80,1,1,5,3,0,0,0,0
No,80,0,28,2,3,26,15,15,9
No,80,0,6,3,3,0,0,0,0
No,80,1,5,2,3,5,4,1,4
Yes,80,1,5,2,1,1,0,0,0
No,80,3,8,3,3,4,3,0,3
No,80,3,5,2,3,0,0,0,0
No,80,1,32,3,3,2,2,2,2
No,80,3,6,2,3,6,5,3,3
No,80,1,25,2,3,4,2,0,3
No,80,3,15,2,3,7,7,1,7
Yes,80,1,1,3,1,1,0,0,0
No,80,1,10,3,2,10,7,0,1
No,80,1,7,4,3,7,7,1,7
No,80,3,10,4,2,10,7,8,9
No,80,0,20,3,3,20,11,13,17
No,80,0,2,2,3,2,1,2,2
No,80,1,12,3,2,6,3,1,4
No,80,1,10,3,4,4,3,0,3
No,80,1,12,3,3,11,7,1,9
No,80,1,2,2,3,2,2,2,2
No,80,0,10,2,3,8,7,0,7
No,80,1,17,2,3,7,7,7,7
No,80,1,15,5,3,14,10,4,10
No,80,1,7,2,4,5,1,1,3
No,80,0,5,4,3,4,3,1,1
No,80,1,12,2,3,11,9,5,7
No,80,0,20,6,3,1,0,0,0
No,80,1,16,6,2,13,2,4,12
No,80,2,9,3,2,9,7,6,8
No,80,1,33,2,1,5,4,1,4
No,80,1,10,5,3,10,5,7,7
Yes,80,0,1,2,4,1,1,0,0
No,80,3,3,5,3,3,2,1,2
No,80,0,36,2,3,10,9,0,9
No,80,0,6,2,2,6,5,0,1
No,80,0,10,2,3,10,9,1,8
No,80,0,13,2,3,6,1,0,5
No,80,1,25,2,3,8,7,0,7
No,80,1,23,2,4,1,0,0,0
No,80,0,12,2,2,11,10,0,7
No,80,0,7,4,2,1,0,0,0
No,80,3,5,2,3,5,3,0,3
No,80,2,6,2,3,6,0,1,0
No,80,0,25,3,4,1,0,0,0
No,80,2,9,2,2,7,7,1,7
No,80,0,2,5,2,1,0,0,0
No,80,1,26,5,3,22,9,3,10
No,80,2,10,3,3,9,8,0,8
No,80,0,1,2,3,1,0,0,1
No,80,1,1,2,3,1,0,0,1
Yes,80,0,1,4,3,1,0,1,0
No,80,0,8,2,2,8,5,2,2
Yes,80,0,26,2,3,24,10,1,11
No,80,1,34,3,3,33,9,15,0
Yes,80,0,2,2,1,2,2,2,2
No,80,1,26,2,3,11,4,0,8
No,80,0,4,3,3,3,2,0,2
No,80,1,31,5,2,29,10,11,10
No,80,0,25,6,2,9,7,5,4
No,80,2,15,2,4,11,8,5,10
No,80,0,5,2,2,4,2,0,2
No,80,2,26,4,2,25,9,14,13
No,80,2,14,5,4,10,9,1,8
No,80,0,4,3,3,3,2,2,2
No,80,0,18,2,3,1,0,0,0
No,80,0,23,3,4,21,7,15,17
No,80,0,18,2,3,16,14,5,12
Yes,80,1,10,2,3,10,7,0,5
No,80,1,2,2,3,2,2,2,2
No,80,0,8,6,2,7,0,7,7
No,80,0,10,3,3,8,4,1,7
Yes,80,2,10,2,3,7,7,7,7
No,80,0,5,2,2,3,2,1,2
No,80,0,2,3,2,2,2,2,1
No,80,2,10,4,4,10,7,0,8
No,80,0,22,4,3,0,0,0,0
No,80,2,21,4,3,19,9,15,2
No,80,2,2,3,3,2,2,2,2
Yes,80,1,10,3,3,10,4,1,1
Yes,80,0,6,2,3,5,2,0,3
No,80,1,10,6,3,9,2,6,7
No,80,0,10,0,3,7,7,1,7
No,80,0,10,3,4,7,6,5,7
No,80,3,10,6,3,9,8,7,5
No,80,0,25,2,3,3,2,1,2
Yes,80,0,9,2,3,5,4,1,0
Yes,80,0,10,2,2,8,7,7,7
No,80,2,9,2,3,9,1,0,8
No,80,0,9,6,3,8,7,1,7
No,80,1,10,5,2,10,8,9,6
No,80,0,19,4,3,19,2,11,9
Yes,80,0,3,2,4,3,2,2,2
Yes,80,0,10,4,4,3,2,1,2
No,80,0,21,3,2,20,8,2,10
No,80,1,23,5,3,19,9,9,11
No,80,0,36,4,3,7,3,7,7
No,80,1,6,0,3,4,2,0,0
No,80,1,10,0,2,9,7,1,6
No,80,0,9,4,3,9,8,8,8
No,80,1,10,2,3,9,3,1,7
No,80,0,9,3,3,9,6,1,1
No,80,1,33,2,3,33,9,0,10
No,80,1,11,3,3,7,7,1,7
No,80,0,10,6,4,10,8,9,6
No,80,3,7,6,2,3,2,1,2
Yes,80,0,31,0,2,10,9,5,9
No,80,1,7,3,3,4,2,0,3
No,80,1,17,2,2,15,7,6,13
No,80,0,11,2,3,10,9,0,8
No,80,1,5,4,3,1,0,0,0
No,80,0,29,1,2,5,2,0,3
No,80,0,0,5,4,0,0,0,0
No,80,1,10,0,3,9,7,0,0
No,80,0,8,3,3,6,2,0,0
Yes,80,0,24,2,2,19,7,3,8
No,80,1,33,0,3,19,16,15,9
No,80,3,5,2,3,5,4,0,0
No,80,3,15,0,3,12,11,11,8
No,80,2,10,1,3,8,7,7,7
Yes,80,0,3,3,4,1,0,0,0
Yes,80,1,5,0,2,4,2,3,2
No,80,3,4,2,3,4,2,0,3
No,80,0,14,2,4,14,11,4,11
No,80,1,5,0,3,5,3,0,4
Yes,80,2,10,3,2,10,2,6,7
No,80,2,8,2,4,5,4,1,4
No,80,0,14,5,3,4,2,3,2
No,80,2,12,4,2,6,2,3,3
No,80,0,8,2,3,6,4,1,3
No,80,0,8,2,4,5,4,1,2
No,80,3,4,3,2,3,2,1,2
No,80,1,13,2,3,6,4,0,5
No,80,0,6,3,2,3,2,1,2
No,80,1,24,3,2,5,3,0,2
No,80,0,20,3,1,20,7,1,8
No,80,0,6,3,3,6,2,4,4
Yes,80,0,8,2,3,8,2,7,7
No,80,0,5,2,3,4,3,1,1
No,80,1,21,5,3,20,7,0,9
No,80,0,12,2,1,5,4,0,4
No,80,0,8,6,3,3,2,0,2
No,80,0,10,2,3,2,2,2,2
No,80,1,7,2,2,3,2,0,2
No,80,0,8,2,3,7,7,0,7
No,80,0,10,3,2,10,9,0,9
Yes,80,0,20,2,3,4,3,1,3
Yes,80,0,9,1,3,8,7,7,7
No,80,0,29,3,2,20,7,12,7
No,80,1,32,3,3,9,8,1,5
No,80,2,31,4,4,7,7,0,0
No,80,0,15,3,3,5,4,0,1
Yes,80,0,1,3,3,1,0,0,0
No,80,2,8,3,3,3,2,0,2
No,80,0,9,3,4,3,2,1,0
No,80,2,10,2,3,4,3,1,3
Yes,80,0,1,3,4,1,0,0,0
No,80,0,6,3,4,5,0,1,4
No,80,0,10,2,2,10,4,1,8
No,80,2,11,3,2,3,2,0,2
No,80,1,17,2,2,6,5,1,2
Yes,80,0,6,2,3,3,2,2,2
No,80,0,7,2,1,6,5,1,3
No,80,1,5,3,4,3,2,1,0
No,80,2,26,2,4,20,17,5,6
No,80,2,5,3,3,5,4,0,3
No,80,1,7,3,2,4,3,0,3
No,80,1,7,2,2,5,4,0,2
No,80,0,7,5,2,4,2,0,3
No,80,2,11,2,4,8,7,0,7
No,80,1,13,5,3,13,7,9,9
Yes,80,1,28,1,4,7,7,4,3
Yes,80,0,11,2,4,1,0,0,0
Yes,80,0,10,2,3,10,8,4,7
No,80,1,24,2,3,7,7,0,7
No,80,0,8,3,3,3,2,0,2
Yes,80,1,7,2,1,2,2,2,2
No,80,2,10,4,4,3,1,1,2
No,80,3,15,3,3,2,2,2,2
Yes,80,0,2,0,3,2,2,2,2
No,80,1,16,5,3,9,8,4,8
No,80,0,6,4,3,5,4,1,3
No,80,0,7,5,3,5,2,0,3
No,80,0,35,2,2,9,8,8,8
No,80,1,20,0,2,3,2,1,2
No,80,1,8,3,4,3,1,1,2
No,80,0,6,3,2,5,2,1,3
No,80,2,5,2,3,4,3,0,3
No,80,0,15,2,3,13,9,3,12
No,80,2,4,2,2,2,1,2,2
No,80,0,12,3,3,12,9,5,8
No,80,1,11,4,2,1,0,0,0
No,80,2,1,2,2,1,0,0,0
No,80,1,13,2,2,12,9,2,8
No,80,2,29,3,3,8,7,0,7
No,80,2,16,3,2,14,8,6,9
Yes,80,1,5,3,4,3,2,1,2
Yes,80,0,7,4,1,5,3,0,0
Yes,80,0,16,2,4,15,9,10,10
No,80,1,1,3,3,1,0,0,0
Yes,80,0,4,2,2,0,0,0,0
No,80,1,1,2,3,1,0,0,0
No,80,0,16,2,2,2,2,2,2
No,80,2,10,3,3,10,7,0,4
No,80,1,6,3,4,5,3,1,3
No,80,0,4,2,3,3,2,1,2
No,80,0,8,5,3,5,4,0,2
No,80,1,11,4,2,5,4,1,2
Yes,80,0,8,2,2,0,0,0,0
No,80,1,1,2,1,1,0,0,0
No,80,0,5,5,3,4,2,1,3
No,80,1,10,3,3,3,2,1,2
No,80,3,4,3,3,3,2,0,2
No,80,2,8,2,2,8,6,1,7
No,80,0,14,6,3,0,0,0,0
No,80,0,10,5,4,5,2,0,0
No,80,1,26,2,3,14,9,1,12
Yes,80,0,11,2,1,9,7,0,7
No,80,1,24,1,4,20,6,14,17
No,80,0,9,3,3,2,0,2,2
No,80,1,23,2,4,13,12,5,1
No,80,0,11,3,1,11,8,3,3
No,80,0,5,2,3,4,3,1,2
Yes,80,0,15,3,1,5,4,1,0
No,80,0,10,3,3,10,9,8,6
Yes,80,0,7,2,1,7,2,7,7
No,80,0,32,2,3,32,6,13,9
No,80,1,12,4,3,11,10,5,7
No,80,1,4,3,3,1,0,0,0
No,80,0,10,2,3,10,8,3,7
No,80,1,9,3,3,7,7,0,7
No,80,0,5,2,3,5,3,0,2
No,80,1,8,3,3,5,4,0,3
No,80,1,24,3,1,20,8,13,9
No,80,0,9,5,4,8,4,7,1
No,80,1,15,3,3,15,14,5,7
No,80,0,21,2,3,21,7,7,7
No,80,3,2,3,3,1,1,0,0
No,80,0,8,2,3,2,2,2,2
No,80,3,10,4,3,10,8,7,7
No,80,2,6,5,3,5,3,4,2
No,80,1,12,2,3,7,1,2,5
No,80,0,7,3,2,3,2,1,2
No,80,1,18,2,3,8,7,7,7
No,80,2,5,2,2,1,0,0,0
No,80,1,8,6,1,2,2,2,2
Yes,80,1,10,4,3,10,8,6,7
No,80,0,10,2,3,6,3,1,2
No,80,0,3,3,3,3,0,1,2
No,80,1,9,3,3,4,2,1,3
Yes,80,1,1,2,3,1,0,0,0
Yes,80,1,34,4,3,33,7,1,9
Yes,80,2,7,2,3,5,2,1,4
No,80,1,9,3,2,6,5,1,2
No,80,1,10,3,2,8,2,7,6
No,80,0,1,4,1,1,0,0,0
No,80,1,36,3,3,36,6,2,13
No,80,1,9,3,2,2,2,2,1
No,80,0,1,5,3,1,0,0,0
No,80,1,10,3,3,9,8,7,7
No,80,0,8,5,4,3,2,1,2
No,80,0,15,5,3,1,0,0,0
No,80,0,10,3,3,10,9,1,5
No,80,0,10,4,3,5,2,0,4
No,80,1,11,3,3,7,6,7,6
No,80,1,6,0,4,6,4,1,3
No,80,1,27,2,3,1,0,0,0
No,80,1,4,2,3,2,2,2,2
No,80,1,9,3,3,3,2,0,2
No,80,0,24,2,3,1,0,0,1
No,80,2,10,3,2,10,9,6,8
No,80,1,8,3,2,8,2,7,7
No,80,1,5,2,3,5,4,1,2
No,80,1,8,0,3,6,4,0,2
No,80,1,1,5,2,1,0,0,1
No,80,0,27,5,1,26,0,0,12
Yes,80,3,1,3,3,1,1,0,0
No,80,0,4,2,2,4,2,1,3
No,80,1,32,3,3,30,8,12,13
No,80,2,6,3,3,3,2,0,2
No,80,1,23,4,2,22,7,1,10
No,80,1,6,3,2,6,4,1,1
No,80,0,10,3,3,10,7,1,4
No,80,1,10,2,3,10,7,4,5
No,80,0,10,3,3,5,2,0,3
No,80,2,7,2,3,3,2,1,1
No,80,1,9,3,3,9,7,7,2
No,80,1,10,3,2,9,6,1,4
No,80,3,10,3,3,7,7,7,7
No,80,2,7,3,3,7,7,0,7
No,80,0,16,2,3,16,15,1,10
No,80,1,6,5,2,5,3,0,0
No,80,0,3,2,3,2,2,2,2
Yes,80,0,0,2,4,0,0,0,0
No,80,1,27,2,3,5,2,1,0
No,80,1,11,3,3,10,8,0,7
No,80,2,18,2,3,18,15,14,12
No,80,1,15,5,3,14,11,2,9
No,80,3,9,2,2,4,3,0,2
No,80,0,10,2,1,9,2,3,8
No,80,2,10,3,3,10,7,3,9
No,80,1,10,6,4,5,4,0,2
Yes,80,0,15,3,3,13,12,6,0
No,80,1,8,2,1,8,4,7,7
No,80,0,18,2,2,4,2,3,3
No,80,0,14,3,3,10,7,0,2
No,80,1,23,3,3,2,2,2,2
Yes,80,2,7,2,2,2,2,2,2
No,80,0,6,2,3,6,3,1,3
No,80,0,5,0,3,3,2,0,2
No,80,0,6,0,2,4,2,1,2
Yes,80,0,10,3,1,4,2,0,3
No,80,0,8,2,3,5,2,1,4
No,80,2,9,6,3,3,2,0,2
No,80,2,7,6,3,7,7,0,7
No,80,0,7,3,3,5,4,1,0
No,80,2,27,2,3,4,2,1,2
No,80,3,19,3,3,14,11,1,11
No,80,0,2,3,3,2,2,2,2
No,80,1,11,2,3,11,8,7,9
No,80,0,15,4,3,4,3,1,3
No,80,1,30,3,3,15,11,2,12
No,80,0,4,6,3,3,2,1,2
No,80,1,13,3,3,5,4,0,4
No,80,1,36,6,3,10,8,4,7
No,80,1,14,3,3,14,10,6,11
Yes,80,0,13,2,4,11,9,6,7
No,80,2,19,4,4,13,11,2,9
No,80,1,10,3,2,10,0,0,9
No,80,2,6,5,3,6,2,0,4
No,80,2,10,4,2,9,5,1,6
No,80,2,10,2,3,10,0,0,2
No,80,1,17,2,2,2,2,2,2
No,80,0,4,3,3,4,3,3,3
No,80,3,29,2,3,3,2,1,2
No,80,0,23,2,3,8,7,0,0
No,80,0,21,2,3,2,0,0,2
No,80,0,2,3,3,2,2,0,2
No,80,1,7,2,3,6,5,1,2
No,80,2,10,2,2,3,2,0,2
No,80,3,8,2,3,2,2,2,2
Yes,80,0,5,2,3,5,4,1,2
No,80,1,7,5,2,0,0,0,0
No,80,0,11,2,3,4,3,1,2
Yes,80,2,19,3,3,9,7,7,7
Yes,80,0,1,2,3,1,0,0,0
No,80,0,7,5,3,7,7,5,7
No,80,1,8,1,3,4,2,1,2
No,80,1,15,3,4,15,10,4,13
No,80,1,19,2,4,1,0,0,0
No,80,3,14,6,3,14,11,2,13
No,80,2,6,2,2,6,3,1,3
No,80,0,10,3,3,10,9,8,7
Yes,80,1,3,2,3,3,2,0,2
No,80,1,9,2,3,8,7,6,7
No,80,0,6,2,4,5,4,1,4
No,80,1,10,3,3,10,9,8,8
No,80,1,5,1,3,5,3,0,4
No,80,0,10,3,3,10,8,8,7
No,80,1,9,2,3,5,3,1,2
No,80,0,17,2,2,13,7,6,7
No,80,1,25,3,2,23,15,14,4
Yes,80,1,1,2,3,1,0,0,0
Yes,80,0,25,3,1,23,5,14,10
No,80,3,3,3,4,3,2,0,2
No,80,0,21,2,3,21,6,8,6
No,80,1,10,3,2,5,2,1,3
No,80,1,6,2,4,5,2,0,3
No,80,1,10,4,3,3,2,1,2
No,80,1,18,3,3,1,0,0,0
No,80,3,6,2,4,6,2,1,2
No,80,0,19,3,3,10,7,0,9
No,80,1,17,3,3,7,7,0,7
No,80,1,10,2,2,10,0,0,8
No,80,1,4,3,1,1,0,0,0
No,80,1,13,5,2,10,6,0,3
Yes,80,3,16,3,3,2,2,2,2
Yes,80,0,10,2,3,0,0,0,0
No,80,0,3,3,1,3,2,1,2
No,80,0,9,3,2,5,4,1,4
No,80,1,9,2,3,9,8,5,8
No,80,1,10,2,1,4,3,0,2
No,80,0,21,3,2,21,8,12,8
No,80,2,9,2,4,5,0,0,3
No,80,0,10,2,3,9,7,0,7
No,80,1,3,2,3,2,2,2,1
Yes,80,1,6,0,2,4,2,1,2
No,80,1,6,3,3,5,2,0,2
No,80,0,6,5,2,6,2,1,4
Yes,80,0,2,3,3,2,2,2,2
No,80,0,10,5,4,3,2,0,2
No,80,1,12,2,3,7,7,1,7
No,80,3,6,3,3,5,0,1,2
No,80,0,13,2,2,11,7,1,7
No,80,0,8,1,4,5,1,0,4
Yes,80,0,11,2,2,0,0,0,0
No,80,1,9,4,2,6,1,0,5
Yes,80,3,10,2,3,1,0,0,0
No,80,1,1,2,3,1,0,0,0
No,80,1,10,3,3,7,0,1,7
No,80,0,12,3,3,7,7,0,7
No,80,1,15,2,3,1,0,1,0
Yes,80,1,6,4,3,1,0,0,0
No,80,3,7,6,2,5,3,0,4
No,80,3,34,2,3,1,0,0,0
No,80,2,11,2,2,9,8,1,7
No,80,2,5,2,3,5,3,0,4
No,80,1,15,3,3,15,14,0,7
No,80,3,27,2,2,3,2,0,2
No,80,0,10,5,3,9,7,1,8
No,80,0,6,3,3,2,2,2,2
Yes,80,0,1,3,3,1,0,1,0
No,80,1,5,3,3,5,4,0,4
Yes,80,0,1,6,3,1,0,0,0
No,80,2,13,3,3,12,7,5,7
No,80,0,15,2,3,2,2,2,2
No,80,2,5,2,3,5,2,0,3
No,80,1,24,3,3,2,1,2,2
No,80,1,15,1,3,12,8,5,7
Yes,80,3,6,2,2,5,3,2,3
No,80,0,19,4,2,10,0,4,7
Yes,80,0,10,2,3,10,7,7,7
No,80,1,14,1,3,10,8,7,6
No,80,1,5,6,4,5,3,0,3
No,80,0,9,3,3,4,3,2,2
No,80,0,6,3,3,2,2,2,2
No,80,1,7,5,2,4,3,0,2
No,80,2,10,2,2,0,0,0,0
No,80,1,15,6,3,7,7,1,7
No,80,3,13,3,3,11,10,3,8
Yes,80,1,11,3,2,7,1,0,7
Yes,80,0,10,4,1,10,3,0,8
No,80,1,7,6,3,2,1,2,2
No,80,0,7,2,2,3,2,1,2
No,80,0,11,3,1,3,2,1,2
No,80,1,23,3,4,22,14,13,5
No,80,0,9,3,3,7,7,0,2
Yes,80,0,6,3,3,5,1,1,4
Yes,80,1,13,2,4,9,7,3,7
No,80,1,12,3,3,5,3,0,3
No,80,2,10,5,3,10,8,4,8
No,80,1,37,0,2,16,9,14,14
No,80,1,6,2,4,5,4,0,3
No,80,1,28,4,3,22,11,14,10
No,80,1,15,3,3,7,4,7,7
No,80,1,14,2,2,7,1,1,7
No,80,2,9,3,3,3,2,2,2
No,80,1,3,3,3,3,2,1,2
No,80,2,20,4,2,4,2,0,3
No,80,0,5,4,3,5,3,1,2
No,80,0,23,3,3,2,2,2,2
No,80,0,0,4,1,0,0,0,0
Yes,80,0,2,4,3,1,0,0,0
Yes,80,3,4,3,3,2,2,2,0
No,80,2,10,3,4,8,7,5,7
No,80,1,15,2,3,1,0,0,0
No,80,1,7,5,3,7,7,7,7
No,80,0,6,3,2,5,4,0,2
No,80,0,11,3,4,11,8,3,10
No,80,0,4,2,4,0,0,0,0
No,80,2,10,1,2,6,3,3,3
No,80,0,7,2,3,2,2,2,0
No,80,1,12,4,2,9,8,4,7
No,80,1,3,2,3,3,2,2,2
No,80,2,11,3,3,7,0,1,6
No,80,0,8,3,3,0,0,0,0
Yes,80,0,7,3,2,2,2,2,2
No,80,1,25,5,3,19,17,2,8
No,80,1,9,5,3,9,8,5,8
No,80,0,1,3,3,1,0,0,0
No,80,0,21,2,3,16,12,6,14
No,80,0,29,3,3,22,10,12,9
Yes,80,0,1,3,2,1,0,1,0
Yes,80,3,14,2,3,8,7,0,7
No,80,1,8,2,2,7,6,7,3
No,80,3,7,2,3,2,2,2,2
No,80,1,19,2,4,5,2,0,4
No,80,1,1,3,3,1,0,0,0
Yes,80,0,1,3,2,1,0,0,0
Yes,80,0,1,2,3,1,0,0,0
No,80,1,10,4,3,10,9,1,7
No,80,1,10,2,3,10,8,0,2
No,80,3,9,3,3,5,3,1,0
No,80,0,11,2,3,3,2,1,2
No,80,1,16,2,3,5,3,0,4
No,80,0,4,2,3,3,2,0,2
No,80,2,10,2,2,9,8,3,8
No,80,0,10,2,2,10,1,0,8
No,80,1,22,3,3,19,7,11,16
No,80,1,1,3,2,1,0,1,0
No,80,0,9,5,2,8,7,0,7
No,80,1,24,3,3,22,17,4,7
No,80,1,10,5,3,2,0,2,2
Yes,80,1,5,2,3,5,2,3,0
Yes,80,0,5,3,3,4,2,1,0
No,80,2,12,1,1,4,2,1,3
No,80,1,14,3,3,5,4,1,4
No,80,1,18,3,4,13,7,5,7
No,80,1,8,2,3,5,2,1,4
No,80,0,9,3,2,4,2,0,1
No,80,1,4,0,2,2,2,2,2
No,80,1,8,3,3,7,7,7,7
